,LotFrontage,LotArea,Street,Alley,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,GrLivArea,ExterCond,SalePrice
0,65.0,8450,Pave,none,7,5,2003,2003,3,1710,TA,208500
1,80.0,9600,Pave,none,6,8,1976,1976,2,1262,TA,181500
2,68.0,11250,Pave,none,7,5,2001,2002,3,1786,TA,223500
3,60.0,9550,Pave,none,7,5,1915,1970,2,1717,TA,140000
4,84.0,14260,Pave,none,8,5,2000,2000,3,2198,TA,250000
5,85.0,14115,Pave,none,5,5,1993,1995,2,1362,TA,143000
6,75.0,10084,Pave,none,8,5,2004,2005,3,1694,TA,307000
7,none,10382,Pave,none,7,6,1973,1973,2,2090,TA,200000
8,51.0,6120,Pave,none,7,5,1931,1950,2,1774,TA,129900
9,50.0,7420,Pave,none,5,6,1939,1950,2,1077,TA,118000
10,70.0,11200,Pave,none,5,5,1965,1965,2,1040,TA,129500
11,85.0,11924,Pave,none,9,5,2005,2006,4,2324,TA,345000
12,none,12968,Pave,none,5,6,1962,1962,2,912,TA,144000
13,91.0,10652,Pave,none,7,5,2006,2007,3,1494,TA,279500
14,none,10920,Pave,none,6,5,1960,1960,2,1253,TA,157000
15,51.0,6120,Pave,none,7,8,1929,2001,2,854,TA,132000
16,none,11241,Pave,none,6,7,1970,1970,2,1004,TA,149000
17,72.0,10791,Pave,none,4,5,1967,1967,2,1296,TA,90000
18,66.0,13695,Pave,none,5,5,2004,2004,2,1114,TA,159000
19,70.0,7560,Pave,none,5,6,1958,1965,2,1339,TA,139000
20,101.0,14215,Pave,none,8,5,2005,2006,3,2376,TA,325300
21,57.0,7449,Pave,Grvl,7,7,1930,1950,2,1108,TA,139400
22,75.0,9742,Pave,none,8,5,2002,2002,3,1795,TA,230000
23,44.0,4224,Pave,none,5,7,1976,1976,2,1060,TA,129900
24,none,8246,Pave,none,5,8,1968,2001,2,1060,Gd,154000
25,110.0,14230,Pave,none,8,5,2007,2007,3,1600,TA,256300
26,60.0,7200,Pave,none,5,7,1951,2000,2,900,TA,134800
27,98.0,11478,Pave,none,8,5,2007,2008,3,1704,TA,306000
28,47.0,16321,Pave,none,5,6,1957,1997,2,1600,TA,207500
29,60.0,6324,Pave,none,4,6,1927,1950,2,520,TA,68500
30,50.0,8500,Pave,Pave,4,4,1920,1950,2,1317,Fa,40000
31,none,8544,Pave,none,5,6,1966,2006,2,1228,TA,149350
32,85.0,11049,Pave,none,8,5,2007,2007,3,1234,TA,179900
33,70.0,10552,Pave,none,5,5,1959,1959,2,1700,TA,165500
34,60.0,7313,Pave,none,9,5,2005,2005,4,1561,TA,277500
35,108.0,13418,Pave,none,8,5,2004,2005,3,2452,TA,309000
36,112.0,10859,Pave,none,5,5,1994,1995,2,1097,TA,145000
37,74.0,8532,Pave,none,5,6,1954,1990,2,1297,TA,153000
38,68.0,7922,Pave,none,5,7,1953,2007,2,1057,Gd,109000
39,65.0,6040,Pave,none,4,5,1955,1955,2,1152,TA,82000
40,84.0,8658,Pave,none,6,5,1965,1965,2,1324,TA,160000
41,115.0,16905,Pave,none,5,6,1959,1959,2,1328,Gd,170000
42,none,9180,Pave,none,5,7,1983,1983,2,884,TA,144000
43,none,9200,Pave,none,5,6,1975,1980,2,938,TA,130250
44,70.0,7945,Pave,none,5,6,1959,1959,2,1150,TA,141000
45,61.0,7658,Pave,none,9,5,2005,2005,4,1752,TA,319900
46,48.0,12822,Pave,none,7,5,2003,2003,3,2149,TA,239686
47,84.0,11096,Pave,none,8,5,2006,2006,3,1656,TA,249700
48,33.0,4456,Pave,none,4,5,1920,2008,2,1452,TA,113000
49,66.0,7742,Pave,none,5,7,1966,1966,2,955,TA,127000
50,none,13869,Pave,none,6,6,1997,1997,2,1470,TA,177000
51,52.0,6240,Pave,none,6,6,1934,1950,2,1176,TA,114500
52,110.0,8472,Grvl,none,5,5,1963,1963,1,816,TA,110000
53,68.0,50271,Pave,none,9,5,1981,1987,3,1842,TA,385000
54,60.0,7134,Pave,none,5,5,1955,1955,2,1360,TA,130000
55,100.0,10175,Pave,none,6,5,1964,1964,2,1425,TA,180500
56,24.0,2645,Pave,Pave,8,5,1999,2000,3,1739,TA,172500
57,89.0,11645,Pave,none,7,5,2004,2004,3,1720,TA,196500
58,66.0,13682,Pave,none,10,5,2006,2006,4,2945,TA,438780
59,60.0,7200,Pave,none,5,7,1972,1972,2,780,TA,124900
60,63.0,13072,Pave,none,6,5,2004,2004,2,1158,TA,158000
61,60.0,7200,Pave,none,5,7,1920,1996,2,1111,TA,101000
62,44.0,6442,Pave,none,8,5,2006,2006,3,1370,TA,202500
63,50.0,10300,Pave,none,7,6,1921,1950,2,1710,TA,140000
64,none,9375,Pave,none,7,5,1997,1998,2,2034,TA,219500
65,76.0,9591,Pave,none,8,5,2004,2005,3,2473,TA,317000
